NumberofElements,SizeofHashTable,InsertionTime,SearchTime
100,10,2,0
100,10,1,0
100,10,1,0
100,10,1,0
100,10,0,0
100,10,1,0
100,10,1,0
100,10,0,0
100,10,1,0
100,10,1,0
200,10,1,0
200,10,1,0
200,10,1,0
200,10,1,0
200,10,1,0
200,10,2,0
200,10,1,0
200,10,1,0
200,10,1,0
200,10,1,0
300,10,2,0
300,10,2,0
300,10,3,0
300,10,1,0
300,10,2,0
300,10,2,0
300,10,2,0
300,10,2,0
300,10,2,0
300,10,2,0
400,10,3,0
400,10,3,0
400,10,3,1
400,10,2,0
400,10,4,0
400,10,3,0
400,10,3,0
400,10,2,0
400,10,5,0
400,10,4,0
500,10,4,0
500,10,3,1
500,10,4,0
500,10,5,0
500,10,3,0
500,10,4,0
500,10,3,1
500,10,3,0
500,10,3,1
500,10,2,0
600,10,4,0
600,10,4,1
600,10,3,0
600,10,3,0
600,10,4,0
600,10,4,1
600,10,3,0
600,10,8,0
600,10,4,1
600,10,3,1
700,10,4,0
700,10,4,0
700,10,4,0
700,10,5,1
700,10,7,0
700,10,5,1
700,10,4,1
700,10,4,1
700,10,4,1
700,10,6,0
800,10,5,0
800,10,5,0
800,10,7,1
800,10,5,1
800,10,5,1
800,10,6,1
800,10,5,1
800,10,7,1
800,10,5,1
800,10,7,1
900,10,6,0
900,10,6,0
900,10,7,1
900,10,6,1
900,10,10,1
900,10,6,0
900,10,7,1
900,10,6,1
900,10,10,1
900,10,6,1
1000,10,8,1
1000,10,7,1
1000,10,9,1
1000,10,12,1
1000,10,7,1
1000,10,10,1
1000,10,9,0
1000,10,9,1
1000,10,8,1
1000,10,7,1
