NumberofElements,SizeofHashTable,InsertionTime,SearchTime
100,5,11,1
100,5,4,1
100,5,9,0
100,5,7,0
100,5,3,0
100,5,3,0
100,5,3,0
100,5,4,1
100,5,4,0
100,5,6,0
200,5,9,0
200,5,7,0
200,5,9,0
200,5,10,0
200,5,10,0
200,5,7,0
200,5,9,0
200,5,6,0
200,5,7,1
200,5,6,0
300,5,14,1
300,5,13,1
300,5,13,1
300,5,12,1
300,5,16,1
300,5,14,1
300,5,13,1
300,5,15,0
300,5,13,1
300,5,11,0
400,5,23,1
400,5,20,1
400,5,13,0
400,5,10,1
400,5,9,0
400,5,6,1
400,5,3,0
400,5,3,1
400,5,2,1
400,5,2,1
500,5,3,0
500,5,4,1
500,5,3,1
500,5,6,0
500,5,4,1
500,5,3,0
500,5,4,0
500,5,4,1
500,5,3,1
500,5,3,1
600,5,5,1
600,5,4,0
600,5,4,0
600,5,6,1
600,5,4,1
600,5,4,1
600,5,6,0
600,5,4,0
600,5,4,0
600,5,7,1
700,5,6,1
700,5,6,1
700,5,4,0
700,5,4,0
700,5,6,1
700,5,4,1
700,5,6,3
700,5,5,1
700,5,6,0
700,5,5,1
800,5,5,2
800,5,9,1
800,5,5,1
800,5,6,1
800,5,6,1
800,5,7,1
800,5,6,1
800,5,9,1
800,5,6,1
800,5,8,1
900,5,7,2
900,5,9,1
900,5,8,2
900,5,7,2
900,5,6,1
900,5,7,1
900,5,10,2
900,5,8,1
900,5,8,2
900,5,10,1
1000,5,9,2
1000,5,8,1
1000,5,8,2
1000,5,7,2
1000,5,9,2
1000,5,9,1
1000,5,8,2
1000,5,9,1
1000,5,9,2
1000,5,8,1
